WL,AAC,DASDV,AR,CC,Output
0.0,0.0,0.0,[0.24999976 0.24999976 0.24999976 0.24999976],[-0.24999976 -0.21874982 -0.1927082  -0.17089834],0
0.0,0.0,0.0,[0.24999976 0.24999976 0.24999976 0.24999976],[-0.24999976 -0.21874982 -0.1927082  -0.17089834],0
0.0,0.0,0.0,[0.24999976 0.24999976 0.24999976 0.24999976],[-0.24999976 -0.21874982 -0.1927082  -0.17089834],0
0.0,0.0,0.0,[0.24999976 0.24999976 0.24999976 0.24999976],[-0.24999976 -0.21874982 -0.1927082  -0.17089834],0
0.0,0.0,0.0,[0.24999976 0.24999976 0.24999976 0.24999976],[-0.24999976 -0.21874982 -0.1927082  -0.17089834],0
0.0,0.0,0.0,[0.24999976 0.24999976 0.24999976 0.24999976],[-0.24999976 -0.21874982 -0.1927082  -0.17089834],0
3018.3333333333335,60.36666666666667,82.88279570049053,[ 0.21297556  0.07730464 -0.27798823 -0.16674396],[-0.21297556 -0.05462534  0.29123214  0.10753519],1
2988.666666666667,59.77333333333334,78.04147394385116,[ 0.10197988  0.05492644  0.1276718  -0.24118945],[-0.10197988 -0.04972649 -0.12242393  0.25517367],1
1941.333333333333,38.82666666666666,52.16683510437696,[ 0.25436139  0.04964824 -0.09631192  0.14251121],[-0.25436139 -0.01729838  0.10345481 -0.16794248],1
1984.0,39.68,51.629940864296884,[-0.00282933  0.43118291 -0.05274982  0.01546248],[ 0.00282933 -0.4311789   0.05152987  0.07764267],1
1663.9999999999998,33.279999999999994,43.95338697708481,[ 0.13022712 -0.15590474  0.10784833 -0.27146311],[-0.13022712  0.16438429 -0.12888753  0.30037693],1
981.3333333333337,30.66666666666668,37.541661445466445,[-0.29080642 -0.27777672 -0.00156815  0.27596847],[ 0.29080642  0.32006091  0.09054508 -0.21165341],1
0.0,0.0,0.0,[0.24999976 0.24999976 0.24999976 0.24999976],[-0.24999976 -0.21874982 -0.1927082  -0.17089834],0
0.0,0.0,0.0,[0.24999976 0.24999976 0.24999976 0.24999976],[-0.24999976 -0.21874982 -0.1927082  -0.17089834],0
0.0,0.0,0.0,[0.24999976 0.24999976 0.24999976 0.24999976],[-0.24999976 -0.21874982 -0.1927082  -0.17089834],0
0.0,0.0,0.0,[0.24999976 0.24999976 0.24999976 0.24999976],[-0.24999976 -0.21874982 -0.1927082  -0.17089834],0
0.0,0.0,0.0,[0.24999976 0.24999976 0.24999976 0.24999976],[-0.24999976 -0.21874982 -0.1927082  -0.17089834],0
0.0,0.0,0.0,[0.24999976 0.24999976 0.24999976 0.24999976],[-0.24999976 -0.21874982 -0.1927082  -0.17089834],0
341.3333333333335,6.82666666666667,12.929952570268304,[ 0.60202143 -0.43124338 -0.05906996 -0.06741731],[-0.60202143  0.61245828 -0.27327797  0.31397565],1
42.66666666666663,0.8533333333333326,4.309984190089429,[-0.02272727 -0.02272727  0.52225186  0.52225186],[ 0.02272727  0.02298554 -0.52173142 -0.53385115],1
0.0,0.0,0.0,[0.24999976 0.24999976 0.24999976 0.24999976],[-0.24999976 -0.21874982 -0.1927082  -0.17089834],1
42.66666666666674,0.8533333333333348,4.30998419008944,[-0.02380952 -0.02380952 -0.02380952 -0.02380952],[0.02380952 0.02409297 0.02438092 0.02467344],1
0.0,0.0,0.0,[0.24999976 0.24999976 0.24999976 0.24999976],[-0.24999976 -0.21874982 -0.1927082  -0.17089834],1
0.0,0.0,0.0,[0.24999976 0.24999976 0.24999976 0.24999976],[-0.24999976 -0.21874982 -0.1927082  -0.17089834],1
0.0,0.0,0.0,[0.24999979 0.24999979 0.24999979 0.24999979],[-0.24999979 -0.21874984 -0.19270821 -0.17089835],0
0.0,0.0,0.0,[0.24999979 0.24999979 0.24999979 0.24999979],[-0.24999979 -0.21874984 -0.19270821 -0.17089835],0
0.0,0.0,0.0,[0.24999979 0.24999979 0.24999979 0.24999979],[-0.24999979 -0.21874984 -0.19270821 -0.17089835],0
0.0,0.0,0.0,[0.24999979 0.24999979 0.24999979 0.24999979],[-0.24999979 -0.21874984 -0.19270821 -0.17089835],0
0.0,0.0,0.0,[0.24999979 0.24999979 0.24999979 0.24999979],[-0.24999979 -0.21874984 -0.19270821 -0.17089835],0
