WL,Output
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
3018.3333333333335,1
2988.666666666667,1
1941.333333333333,1
1984.0,1
1663.9999999999998,1
981.3333333333337,1
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
341.3333333333335,1
42.66666666666663,1
0.0,1
42.66666666666674,1
0.0,1
0.0,1
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
15.666666666666629,0
2305.333333333333,1
3429.3333333333335,1
3658.0,1
3658.0,1
3286.0,1
1457.0,1
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,1
217.0,1
62.0,1
248.0,1
124.0,1
124.0,1
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
510.0,1
850.6666666666666,1
1088.0,1
1976.666666666667,1
1292.6666666666667,1
443.3333333333335,1
0.0,0
0.0,0
68.0,0
0.0,0
68.0,0
0.0,0
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
170.66666666666663,1
597.3333333333334,1
1023.9999999999997,1
810.6666666666663,1
853.3333333333333,1
383.99999999999983,1
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,1
0.0,1
597.3333333333329,1
0.0,1
0.0,1
554.6666666666666,1
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
3524.666666666667,1
3517.333333333334,1
3671.666666666667,1
2239.0,1
3192.3333333333335,1
1484.3333333333335,1
13.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
65.0,1
104.66666666666674,1
208.66666666666674,1
56.66666666666674,1
156.66666666666674,1
113.33333333333337,1
9.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
2479.5,1
2036.5,1
3490.5,1
3269.0,1
2628.0,1
1204.0,1
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
71.0,1
36.0,1
72.0,1
36.0,1
0.0,1
71.0,1
0.0,0
0.0,0
304.0,1
168.0,1
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
34.0,0
3544.0000000000005,1
3714.3333333333335,1
3722.6666666666674,1
4440.666666666667,1
2893.333333333333,1
1514.0,1
0.0,0
123.99999999999989,0
0.0,0
0.0,0
0.0,0
0.0,0
1037.3333333333328,1
1082.666666666666,1
681.6666666666665,1
705.9999999999995,1
901.6666666666663,1
469.99999999999955,1
0.0,0
0.0,0
0.0,0
648.6666666666667,0
0.0,0
0.0,0
2531.3333333333335,1
2545.0,1
1962.6666666666663,1
1520.6666666666665,1
753.3333333333334,1
824.6666666666669,1
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1335.3333333333337,1
1521.666666666667,1
540.6666666666666,1
782.3333333333334,1
1450.6666666666665,1
640.0000000000001,1
