timestamp,session_id,level_number,value
1769531168.303,269,1,"(32.41, 20.0)"
1769531168.314,269,1,"(11.25, 18.0)"
1769531168.324,269,1,"(-13.21, 16.0)"
1769531168.335,269,1,"(-18.07, 16.0)"
1769531168.346,269,1,"(-3.75, 16.0)"
1769531168.357,269,1,"(6.6, 16.0)"
1769531168.367,269,1,"(-1.42, 16.0)"
1769531168.378,269,1,"(-2.23, 16.0)"
1769531168.388,269,1,"(-1.39, 16.0)"
1769531168.398,269,1,"(0.91, 16.0)"
1769531168.409,269,1,"(0.08, 16.0)"
1769531168.419,269,1,"(-0.46, 16.0)"
1769531168.429,269,1,"(0.07, 16.0)"
1769531168.439,269,1,"(0.22, 16.0)"
1769531168.451,269,1,"(-0.04, 16.0)"
1769531168.461,269,1,"(-0.07, 16.0)"
1769531168.471,269,1,"(0.05, 16.0)"
1769531168.481,269,1,"(0.01, 16.0)"
1769531168.492,269,1,"(0.02, 16.0)"
1769531168.502,269,1,"(0.08, 16.0)"
1769531168.512,269,1,"(0.16, 16.0)"
1769531168.523,269,1,"(0.1, 16.0)"
1769531168.533,269,1,"(-4.08, 16.0)"
1769531168.543,269,1,"(17.45, 16.0)"
1769531168.554,269,1,"(-125.12, 18.0)"
1769531168.564,269,1,"(-52.41, 18.0)"
1769531168.574,269,1,"(16.55, 18.0)"
1769531168.585,269,1,"(15.92, 18.0)"
1769531168.596,269,1,"(3.23, 18.0)"
1769531168.606,269,1,"(-5.82, 18.0)"
1769531168.618,269,1,"(-1.93, 18.0)"
1769531168.628,269,1,"(2.16, 18.0)"
1769531168.638,269,1,"(-0.75, 18.0)"
1769531168.649,269,1,"(-0.37, 18.0)"
1769531168.659,269,1,"(0.72, 18.0)"
1769531168.669,269,1,"(0.28, 18.0)"
1769531168.679,269,1,"(-0.15, 18.0)"
1769531168.690,269,1,"(-0.22, 18.0)"
1769531168.700,269,1,"(0.1, 18.0)"
1769531168.711,269,1,"(0.08, 18.0)"
1769531168.721,269,1,"(-0.07, 18.0)"
1769531168.732,269,1,"(-0.02, 18.0)"
1769531168.742,269,1,"(0.02, 18.0)"
1769531168.753,269,1,"(0.01, 18.0)"
1769531168.764,269,1,"(2.13, 18.0)"
1769531168.774,269,1,"(-32.05, 18.0)"
1769531168.785,269,1,"(-68.69, 24.0)"
1769531168.795,269,1,"(-61.01, 26.0)"
1769531168.805,269,1,"(-9.64, 24.0)"
1769531168.816,269,1,"(-2.36, 20.0)"
1769531168.826,269,1,"(-5.41, 18.0)"
1769531168.836,269,1,"(-3.53, 18.0)"
1769531168.847,269,1,"(1.62, 18.0)"
1769531168.858,269,1,"(1.87, 16.0)"
1769531168.868,269,1,"(-1.72, 16.0)"
1769531168.878,269,1,"(-0.98, 16.0)"
1769531168.888,269,1,"(0.92, 16.0)"
1769531168.900,269,1,"(0.01, 16.0)"
1769531168.909,269,1,"(-0.59, 16.0)"
1769531168.920,269,1,"(0.03, 16.0)"
1769531168.930,269,1,"(0.47, 16.0)"
1769531168.941,269,1,"(0.32, 16.0)"
1769531168.952,269,1,"(-0.08, 16.0)"
1769531168.962,269,1,"(0.39, 16.0)"
1769531168.973,269,1,"(0.26, 16.0)"
1769531168.985,269,1,"(-0.18, 16.0)"
1769531168.995,269,1,"(-0.01, 16.0)"
1769531169.006,269,1,"(-1.38, 16.0)"
1769531169.016,269,1,"(35.71, 18.0)"
1769531169.026,269,1,"(84.06, 22.0)"
1769531169.036,269,1,"(56.06, 24.0)"
1769531169.047,269,1,"(9.04, 22.0)"
1769531169.057,269,1,"(5.01, 20.0)"
1769531169.069,269,1,"(7.33, 18.0)"
1769531169.079,269,1,"(5.78, 18.0)"
1769531169.089,269,1,"(-2.49, 18.0)"
1769531169.100,269,1,"(-2.17, 18.0)"
1769531169.110,269,1,"(2.16, 18.0)"
1769531169.120,269,1,"(1.76, 18.0)"
1769531169.130,269,1,"(-0.8, 18.0)"
1769531169.141,269,1,"(-0.58, 18.0)"
1769531169.153,269,1,"(0.51, 18.0)"
1769531169.164,269,1,"(0.25, 18.0)"
1769531169.175,269,1,"(0.08, 18.0)"
1769531169.186,269,1,"(-0.08, 18.0)"
1769531169.196,269,1,"(0.01, 18.0)"
1769531169.206,269,1,"(0.03, 18.0)"
1769531169.217,269,1,"(-0.02, 18.0)"
1769531169.227,269,1,"(0.17, 18.0)"
1769531169.238,269,1,"(-19.65, 18.0)"
1769531169.248,269,1,"(-108.64, 22.0)"
1769531169.258,269,1,"(50.05, 28.0)"
1769531169.270,269,1,"(-9.45, 32.0)"
1769531169.280,269,1,"(24.55, 28.0)"
1769531169.291,269,1,"(-5.44, 24.0)"
1769531169.301,269,1,"(-5.87, 20.0)"
1769531169.312,269,1,"(-4.59, 18.0)"
